Id,Category,Organization Name,Address,Zip Code,Days,Time: Open,Time: Close,Description,Phone Number,LatLon
78,Emergency Food,St. Mark's Food Cupboard,"1625 Locust St, Philadelphia, PA 19103",19103,Tues-Fri 9:30AM - 11AM,9:30 AM,11:00 AM,The Food Cupboard has provided staples to familes and individuals in our area of the city for more than 20 years. It operates on Tuesdays - Fridays from 9:30 am to 11:00 am.,215-735-1416,"-75.1683228,39.9489048"
79,Emergency Food,St. Mark’s Saturday Soup Bowl,"1625 Locust St, Philadelphia, PA 19103",19103,Sat 7AM - 9AM,7:00 AM,9:00 AM,Every Saturday morning from 7 to 9 a.m. we serve soup and bread to the hungry and we greet them as brothers and sisters.,215-735-1416,"-75.1683228,39.9489048"
80,Emergency Food,St. Peter's Food Cupboard,"313 Pine St, Philadelphia, PA 19106",19106,Sat: 8AM-10AM,8:00 AM,10:00 AM,"In 1987, someone knocked on the doors of St. Peter’s Church and asked for food. This simple question sparked the creation of the St. Peter’s Food Cupboard, which now serves an average of 180 families each week.",215-925-5968,"-75.14768950000001,39.9435653"
81,Emergency Shelter,Station House,"2601 N Broad St, Philadelphia, PA 19132",19132,Contact for Hours,Contact for Hours,Contact for Hours,"After hours reception for single men
 2601 N. Broad Street
 After 4 pm",215-225-9230,"-75.15448099999999,39.9923325"
84,Emergency Food,Sunday Breakfast Rescue Mission,"302 N 13th St, Philadelphia, PA 19107",19107,Sun-Sat,9:00 AM,5:00 PM,Daily: Breakfast 7am; Lunch 12pm; Snack 2:15pm (Most days); Dinner 6pm,215-922-6400,"-75.160376,39.958175"
85,Emergency Shelter,Sunday Breakfast Rescue Mission,"302 N 13th St, Philadelphia, PA 19107",19107,Arrive before 6PM Sun-Sat,6:00PM,Contact for Hours,"Overnight homeless shelter is provided for men over the age of 18. To receive a bed, please arrive before 6 pm and bring identification. Your bag will be checked, and you will receive a meal and a shower before bed.",(215) 922-6400 ext. 112 or ext.102,"-75.160376,39.958175"
87,Day / Drop in Centers,The Perimeter (Veteran Services),"213-217 N 4th St, Philadelphia, PA 19106",19106,Mon-Fri,8:30,4:30 PM,"Showers, haircuts, food, clothing, laundry, counseling, shelter, transportation",215-923-2600,"-75.1461131,39.9546524"
88,Emergency Shelter,The Roosevelt Darby Center,"802 N Broad St, Philadelphia, PA 19130",19130,Contact for Hours,Contact for Hours,Contact for Hours,"Centralized intake for single men
 802 N. Broad Street
 7 am to 3 pm",215-685-3700,"-75.16063919999999,39.9682086"
90,Emergency Shelter,Traveler's Aid Family Services of Philadelphia,"111 N. 49th Street, Philadelphia, PA 19139",19139,Contact for Hours,Contact for Hours,Contact for Hours,Families Forward Philadelphia (FFP) operates the city’s largest privately run shelter for homeless families. FFP serves 75 families on site as well as another 70 families residing in our transitional and permanent housing units in our West Philadelphia community!,215-240-4800 Ext. #100,"-75.2184789,39.9617037"
91,Emergency Shelter,Trevor's Place Family Shelter,"1624 Poplar Street, Philadelphia, PA 19130",19130,Contact for Hours,Contact for Hours,Contact for Hours,OESS Family Shelter,(215) 236-4660,"-75.164107,39.9705471"
93,Day / Drop in Centers,Welcome Center Lutheran Church of the Holy Communion,"2111 Sansom St, Philadelphia, PA 19103",19103,Tues & Fri: 12pm Lunch; 12-4pm,Contact for Hours,Contact for Hours,Activities,215-567-3668,"-75.1761489,39.9517475"
94,Emergency Shelter,Whosoever Gospel Mission,"101 E Chelten Ave, Philadelphia, PA 19144",19144,Mon-Sat 9:45 AM – 4:30 PM,9:45AM,4:30PM,"The Whosoever Gospel Mission is a Christian nonprofit organization whose purpose is to provide shelter, food, clothing, education, counseling, rehabilitation and other assistance to homeless and/or needy men, women and children in the Philadelphia Metropolitan Area.",(215) 438-3094,"-75.17350929999999,40.0373165"
95,Emergency Food,Whosoever Gospel Mission,"101 E Chelten Ave, Philadelphia, PA 19144",19144,Mon-Sat 9:45 AM – 4:30 PM,9:45AM,4:30PM,"The Whosoever Gospel Mission is a Christian nonprofit organization whose purpose is to provide shelter, food, clothing, education, counseling, rehabilitation and other assistance to homeless and/or needy men, women and children in the Philadelphia Metropolitan Area.",(215) 438-3094,"-75.17350929999999,40.0373165"
96,Emergency Shelter,"Women Against Abuse, Inc.","100 S. Broad Street, Philadelphia, PA 19110",19110,Contact for Hours,Contact for Hours,Contact for Hours,"Women Against Abuse’s two 24-hour emergency safe havens provide free services to women and children who are victims of domestic violence. Services include: Up to 90 days of shelter, Case management, Individual and group counseling, Three meals a day, Children’s health assessments, Emergency relocation, funds (as available), Adult education and job readiness referrals, After school and summer school programs, On-site child care. If you need emergency housing because of a domestic violence situation, please call the 24/7 Philadelphia Domestic Violence Hotline (1-866-723-3014).",866.723.3014,"-75.1644611,39.9503752"
99,Emergency Shelter,Woodstock Family Shelter,"1981 N Woodstock St, Philadelphia, PA 19121",19121,Contact for Hours,Contact for Hours,Contact for Hours,"Woodstock Family Center provides emergency shelter for homeless females with children. The facility provides an array of supportive services including case management, a Bright Spaces child care program, and counseling through RHD's Family Shelter Support Team (FaSST).",215-235-5040,"-75.167666,39.98391"
101,Emergency Shelter,Youth Emergency Services,"1526 Fairmount Avenue, Philadelphia, PA 19130",19130,Contact for Hours,Contact for Hours,Contact for Hours,Temporary Youth Shelter,215-787-0633,"-75.1631142,39.9668384"
